,channelTitle,2020-08-11 00:00:00,2020-08-12 00:00:00,2020-08-13 00:00:00,2020-08-14 00:00:00,2020-08-15 00:00:00,2020-08-16 00:00:00,2020-08-17 00:00:00,2020-08-18 00:00:00,2020-08-19 00:00:00,2020-08-20 00:00:00,2020-08-21 00:00:00,2020-08-22 00:00:00,2020-08-23 00:00:00,2020-08-24 00:00:00,2020-08-25 00:00:00,2020-08-26 00:00:00,2020-08-27 00:00:00,2020-08-28 00:00:00,2020-08-29 00:00:00,2020-08-30 00:00:00,2020-08-31 00:00:00,2020-09-01 00:00:00,2020-09-02 00:00:00,2020-09-03 00:00:00,2020-09-04 00:00:00,2020-09-05 00:00:00,2020-09-06 00:00:00,2020-09-07 00:00:00,2020-09-08 00:00:00,2020-09-09 00:00:00,2020-09-10 00:00:00,2020-09-11 00:00:00,2020-09-12 00:00:00,2020-09-13 00:00:00,2020-09-14 00:00:00,2020-09-15 00:00:00,2020-09-16 00:00:00,2020-09-17 00:00:00,2020-09-18 00:00:00,2020-09-19 00:00:00,2020-09-20 00:00:00,2020-09-21 00:00:00,2020-09-22 00:00:00,2020-09-23 00:00:00,2020-09-24 00:00:00,2020-09-25 00:00:00,2020-09-26 00:00:00,2020-09-27 00:00:00,2020-09-28 00:00:00,2020-09-29 00:00:00,2020-09-30 00:00:00,2020-10-01 00:00:00,2020-10-02 00:00:00,2020-10-03 00:00:00,2020-10-04 00:00:00,2020-10-05 00:00:00,2020-10-06 00:00:00,2020-10-07 00:00:00,2020-10-08 00:00:00,2020-10-09 00:00:00,2020-10-10 00:00:00,2020-10-11 00:00:00,2020-10-12 00:00:00,2020-10-13 00:00:00,2020-10-14 00:00:00,2020-10-15 00:00:00,channel_average,channel_std,trues
82,JRE Clips,48,81,80,90,99,68,63,93,88,78,100,80,63,66,72,76,73,73,51,40,42,53,73,59,63,66,60,65,79,85,60,59,81,39,72,81,74,77,59,42,60,45,58,42,69,55,48,34,35,45,58,60,53,31,53,51,58,68,85,32,39,31,55,57,45,54,62.0,16.94912172570388,5
83,Mrwhosetheboss,77,91,31,60,61,30,63,31,31,48,30,61,71,47,63,33,38,58,31,31,44,32,43,33,32,31,63,31,66,44,33,32,46,31,33,50,81,54,44,61,42,50,34,49,53,48,94,62,49,66,48,100,49,46,31,67,50,32,43,63,62,0,53,33,55,98,49.196969696969695,18.617537916974705,5
84,BANGTANTV,12,11,14,11,9,9,6,21,14,9,100,22,17,25,10,18,14,15,12,5,14,13,18,14,6,5,9,8,13,3,10,3,9,9,6,7,10,13,8,8,10,16,8,10,7,13,10,9,8,15,16,21,26,19,7,19,12,9,12,12,10,6,7,10,11,10,12.924242424242424,11.85686172140944,1
85,SMTOWN,0,45,45,66,44,0,46,46,46,47,68,0,0,46,70,100,0,0,46,46,73,47,48,0,48,0,93,47,100,49,49,0,45,0,48,0,48,49,0,45,0,0,50,73,0,0,93,46,47,48,48,49,0,46,0,49,99,0,48,0,46,90,71,49,0,0,37.90909090909091,30.371301881240335,6
86,Rick Beato,31,54,76,30,38,52,23,47,47,39,69,45,61,71,16,25,76,48,47,16,33,40,40,56,56,31,32,16,84,33,17,16,15,31,16,41,81,73,90,15,47,33,83,33,32,40,23,23,16,33,48,33,32,46,46,33,100,81,64,56,85,53,40,33,66,25,44.40909090909091,21.443355453681864,7
87,Miniminter,41,60,100,74,80,74,77,46,62,36,50,55,55,72,52,71,69,57,36,72,48,32,84,32,73,46,52,51,33,49,54,43,35,55,38,65,37,59,43,46,62,32,82,32,26,52,51,36,32,54,42,49,21,46,45,38,55,69,42,63,46,55,94,54,81,70,53.68181818181818,16.80382269902523,6
88,Kevin James,13,33,19,38,39,32,26,26,26,13,53,39,65,27,34,28,49,49,46,46,21,41,20,20,27,67,40,53,28,28,42,35,65,39,55,14,28,35,70,72,33,28,100,84,34,61,20,73,28,35,27,42,48,33,20,92,71,21,34,41,53,45,27,28,98,49,41.303030303030305,20.07634647506763,6
89,Strictly Dumpling,65,35,54,58,39,39,45,30,55,51,74,34,39,35,30,65,31,68,15,70,63,62,26,52,51,45,46,90,75,54,48,26,29,59,63,48,68,58,84,50,25,53,64,68,31,87,45,55,47,74,26,53,42,55,30,43,80,62,77,26,75,44,46,32,42,100,51.68181818181818,18.132641829709147,5
90,El Cherry Scom,81,81,0,0,0,0,0,0,82,0,0,0,80,82,0,0,100,0,82,0,86,0,0,0,83,83,0,0,0,0,0,0,81,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,87,0,0,81,0,0,0,0,0,0,0,0,0,86,87,20.363636363636363,36.07216519601194,16
91,Sammy Hagar,16,19,15,18,31,33,17,25,19,9,17,16,19,10,19,21,31,39,21,15,27,15,11,20,15,34,13,23,11,27,16,29,27,19,30,9,29,15,29,19,11,14,32,25,11,28,15,13,11,16,10,11,18,17,21,20,43,97,72,100,71,52,41,27,51,42,25.71212121212121,18.26303200250992,4
92,airrack,0,39,19,38,29,0,30,19,19,20,58,0,19,39,20,0,36,0,20,0,31,0,47,51,40,20,40,33,0,77,42,61,26,38,31,69,68,61,27,32,59,62,28,62,100,40,39,39,21,41,40,28,34,39,48,52,21,54,30,40,19,38,47,31,41,62,35.06060606060606,20.359554966171764,4
93,BSOLZ,38,0,0,0,0,0,0,38,0,77,37,36,0,0,0,41,0,0,38,38,0,38,39,40,0,0,0,38,0,40,80,79,37,37,40,41,80,59,40,38,0,0,0,0,0,0,38,0,40,0,39,40,40,0,37,40,0,0,39,0,0,37,39,100,40,60,25.12121212121212,25.8019937869004,5
94,David Dobrik Too,53,18,18,35,17,18,18,30,36,24,18,18,26,27,24,26,33,22,18,18,0,0,19,28,25,18,18,18,19,19,19,28,18,18,0,29,19,0,19,18,0,0,0,19,0,0,18,0,0,19,19,19,100,54,30,19,29,31,31,28,18,18,0,19,19,0,19.984848484848484,15.35587186501043,3
95,Drew Gooden,48,63,29,56,76,42,54,44,49,30,58,91,100,79,89,31,60,72,73,68,92,66,65,56,50,39,30,49,52,47,67,51,62,58,77,52,67,77,87,44,54,36,31,56,55,35,68,59,46,46,40,42,71,58,43,31,47,35,71,60,44,53,70,72,31,51,56.13636363636363,16.820700057168345,5
96,P2istheName,33,18,29,88,100,49,51,44,40,52,29,14,14,22,41,39,36,36,22,15,15,34,49,61,30,15,15,22,31,47,39,15,14,14,38,27,23,27,23,11,7,15,23,27,56,15,11,15,8,46,23,16,30,7,25,12,39,27,45,23,11,25,34,46,23,27,29.666666666666668,17.4515201502779,4
97,Thomas Sanders,40,48,62,50,73,47,60,75,49,20,37,39,48,38,61,40,21,25,52,55,39,24,41,45,18,46,58,46,31,31,37,30,56,48,42,40,51,36,45,40,41,40,37,27,32,59,51,57,60,39,62,43,24,49,25,46,28,54,33,35,100,96,74,52,18,51,45.10606060606061,16.108654541824468,5
98,IGN,34,30,35,33,35,47,44,29,37,44,37,70,72,43,63,56,70,69,53,38,58,48,60,59,49,35,34,36,51,71,63,47,43,34,53,60,100,79,60,32,32,59,54,28,51,50,41,28,49,40,47,68,57,42,37,45,48,40,56,31,50,34,52,36,46,57,48.31818181818182,14.077877649647949,6
99,ITZY,21,14,16,14,16,20,100,78,64,54,53,35,35,37,33,26,34,27,30,29,21,24,21,27,21,25,20,29,23,24,21,26,22,18,20,28,22,22,16,20,25,21,18,14,18,18,17,21,18,18,19,18,19,16,18,13,19,14,13,12,14,15,13,14,13,9,24.439393939393938,15.11784896102776,5
100,Lil Poppa,32,28,35,35,36,32,33,29,36,40,32,34,35,30,29,36,36,38,33,32,36,22,36,27,36,32,38,36,35,26,30,28,23,29,29,33,27,32,60,54,38,40,37,35,30,39,40,30,31,35,37,40,47,34,35,35,39,35,45,100,78,63,63,67,59,68,38.484848484848484,13.417810895204456,8
101,WKMG News 6 ClickOrlando,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5151515151515151,12.21554204287659,1
102,TWICE,83,76,78,89,73,76,73,72,78,64,100,76,73,60,60,60,61,60,75,68,62,71,57,84,70,73,62,60,61,61,59,64,71,55,56,71,53,56,66,76,67,57,63,53,56,61,56,55,74,54,58,61,71,60,53,51,50,60,62,75,49,47,52,77,72,67,65.21212121212122,10.312562435462276,4
103,ARIRANG NEWS,92,0,91,0,91,0,0,0,0,0,0,0,91,94,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,97,0,92,94,99,0,0,0,96,0,93,98,0,96,99,0,93,93,0,0,0,0,0,93,91,0,99,0,0,30.075757575757574,44.05860787015838,6
104,sdbl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.015151515151515,17.056494741177946,2
105,Jason Nash,48,34,30,36,40,27,28,44,33,40,39,28,23,42,42,45,27,40,31,35,30,45,32,50,36,31,29,42,33,28,16,25,26,21,37,37,14,30,46,39,51,30,23,28,36,40,26,35,23,28,52,40,34,100,97,72,54,50,34,27,35,26,36,21,41,39,36.92424242424242,14.607294365093873,3
106,MrBeast Shorts,17,0,0,16,0,16,17,0,0,0,0,16,17,0,0,0,0,21,17,0,18,18,0,0,17,0,17,17,0,18,18,0,17,100,60,55,83,36,72,56,46,48,45,30,35,44,42,17,30,42,35,36,29,34,17,27,37,26,26,17,25,25,17,0,18,0,22.53030303030303,21.347215911703803,6
107,Vox,65,67,67,63,64,100,71,56,73,67,69,64,66,59,60,76,69,49,56,63,54,78,73,56,60,59,64,52,75,58,57,64,65,69,54,75,64,74,74,33,50,52,53,60,87,36,44,54,91,65,36,78,42,40,63,58,53,56,51,60,47,41,62,62,82,89,62.03030303030303,13.069707859953729,5
108,Tee Grizzley,76,75,62,69,75,82,57,83,89,100,84,76,81,76,67,69,76,77,74,65,72,78,83,65,76,80,80,63,74,67,80,82,76,59,74,70,80,69,71,74,67,73,70,78,75,84,72,66,71,62,72,71,63,83,73,68,91,68,65,66,72,69,60,64,56,73,73.0,8.153824163228471,3
