,channelTitle,2020-08-11 00:00:00,2020-08-12 00:00:00,2020-08-13 00:00:00,2020-08-14 00:00:00,2020-08-15 00:00:00,2020-08-16 00:00:00,2020-08-17 00:00:00,2020-08-18 00:00:00,2020-08-19 00:00:00,2020-08-20 00:00:00,2020-08-21 00:00:00,2020-08-22 00:00:00,2020-08-23 00:00:00,2020-08-24 00:00:00,2020-08-25 00:00:00,2020-08-26 00:00:00,2020-08-27 00:00:00,2020-08-28 00:00:00,2020-08-29 00:00:00,2020-08-30 00:00:00,2020-08-31 00:00:00,2020-09-01 00:00:00,2020-09-02 00:00:00,2020-09-03 00:00:00,2020-09-04 00:00:00,2020-09-05 00:00:00,2020-09-06 00:00:00,2020-09-07 00:00:00,2020-09-08 00:00:00,2020-09-09 00:00:00,2020-09-10 00:00:00,2020-09-11 00:00:00,2020-09-12 00:00:00,2020-09-13 00:00:00,2020-09-14 00:00:00,2020-09-15 00:00:00,2020-09-16 00:00:00,2020-09-17 00:00:00,2020-09-18 00:00:00,2020-09-19 00:00:00,2020-09-20 00:00:00,2020-09-21 00:00:00,2020-09-22 00:00:00,2020-09-23 00:00:00,2020-09-24 00:00:00,2020-09-25 00:00:00,2020-09-26 00:00:00,2020-09-27 00:00:00,2020-09-28 00:00:00,2020-09-29 00:00:00,2020-09-30 00:00:00,2020-10-01 00:00:00,2020-10-02 00:00:00,2020-10-03 00:00:00,2020-10-04 00:00:00,2020-10-05 00:00:00,2020-10-06 00:00:00,2020-10-07 00:00:00,2020-10-08 00:00:00,2020-10-09 00:00:00,2020-10-10 00:00:00,2020-10-11 00:00:00,2020-10-12 00:00:00,2020-10-13 00:00:00,2020-10-14 00:00:00,2020-10-15 00:00:00,channel_average,channel_std,trues
133,Safiya Nygaard,23,29,28,24,24,32,44,39,27,27,23,27,24,22,19,24,26,25,19,36,20,23,11,24,19,49,100,49,45,42,20,39,28,31,31,18,29,16,23,23,36,17,30,28,6,27,25,30,26,23,18,20,21,25,28,25,25,67,53,43,34,49,30,26,33,30,29.651515151515152,13.467685707291231,3
134,Greg Doucette,51,34,25,29,13,70,39,55,30,39,25,59,29,22,48,51,42,42,55,47,31,45,62,22,35,30,30,60,54,23,100,31,38,17,45,45,36,49,58,42,34,54,32,31,44,44,21,17,22,45,44,82,31,26,34,59,37,35,22,35,42,25,53,50,54,76,41.015151515151516,16.08546532351529,4
135,YoungBoy Never Broke Again,27,20,45,34,32,22,27,22,25,29,36,24,24,24,29,40,32,26,33,24,22,25,39,33,32,29,26,28,26,26,29,100,68,46,35,36,34,32,35,35,34,29,31,26,30,36,33,29,23,27,27,27,25,29,24,19,22,23,29,28,29,23,26,22,22,21,30.37878787878788,11.360171188844518,2
136,Extra Krispy,0,0,94,61,31,31,32,32,43,65,31,31,0,0,32,34,39,0,32,48,33,33,33,0,0,53,32,0,51,68,34,0,0,0,33,51,100,33,33,31,64,34,34,67,43,0,31,64,0,0,33,34,0,32,31,34,34,33,33,0,63,31,82,34,34,0,31.803030303030305,23.867195501782227,4
137,audiomack,0,0,45,89,0,67,0,0,47,0,0,0,0,0,0,0,0,0,0,0,49,0,48,48,48,0,95,47,75,0,0,0,0,0,0,0,49,49,49,46,47,0,100,0,71,95,46,0,49,99,48,0,48,46,92,0,50,49,0,96,46,46,0,49,49,0,29.954545454545453,32.99376975998963,7
138,Fox Sports Radio,33,0,0,0,0,0,34,34,0,34,0,33,33,0,34,73,41,0,0,0,35,35,35,0,69,0,0,0,36,73,36,35,33,0,0,36,35,35,0,100,34,0,0,36,0,35,0,34,53,0,0,36,0,0,0,0,36,70,35,52,33,0,34,36,35,35,23.272727272727273,23.556859294793753,5
139,Mehditation,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,100,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.212121212121212,20.61737657202245,4
140,DW News,62,46,91,0,91,30,78,77,62,63,31,31,30,31,47,34,38,76,31,31,0,0,32,32,63,62,31,31,33,100,33,0,61,46,98,83,32,97,0,92,63,33,34,66,96,0,63,47,32,33,32,50,64,77,62,33,50,49,32,63,46,76,63,33,66,33,48.515151515151516,25.88684141239283,7
141,britneyandbaby,11,21,0,15,0,16,16,11,0,16,0,10,16,16,0,0,13,13,11,22,23,22,0,23,0,11,0,0,23,12,23,11,16,100,96,17,34,45,17,21,22,11,12,23,17,17,11,11,11,0,22,11,11,16,21,11,34,11,11,27,11,11,11,0,17,11,16.242424242424242,17.0294402887262,3
142,Cam&Fam,16,0,15,0,15,0,16,0,16,16,16,31,26,48,53,86,29,58,100,63,50,16,0,44,40,40,32,0,43,17,17,17,0,15,33,0,25,49,17,0,0,17,17,34,0,16,0,16,17,17,0,17,16,16,16,25,0,16,41,16,16,15,16,17,17,17,22.03030303030303,20.068798107607993,5
143,The Boys,58,89,68,56,68,62,57,71,69,63,49,62,52,58,54,57,58,55,69,65,65,55,63,58,66,87,71,74,80,64,64,75,73,71,66,70,57,58,68,70,70,58,58,57,57,77,86,74,67,68,64,81,88,87,76,76,68,67,71,100,96,91,83,82,65,72,68.6969696969697,11.115058986429583,8
144,TerminalMontage,59,30,47,55,28,30,33,43,29,39,44,53,77,60,58,59,61,35,45,43,40,47,37,40,53,38,36,31,36,31,35,22,47,19,33,38,37,37,25,28,29,43,28,30,49,100,82,88,52,73,42,30,47,54,42,41,61,37,25,44,45,31,41,45,38,38,43.53030303030303,15.433355943078238,5
145,Not Alpharad,64,0,63,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,67,0,63,0,0,0,0,0,0,65,0,0,0,66,0,63,0,68,0,66,68,100,64,64,68,0,66,66,0,0,0,0,0,0,68,19.37878787878788,30.77127997432078,10
146,Verge Science,0,94,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,100,8.787878787878787,27.8086073177893,6
147,Gamers Nexus,12,12,29,17,29,17,24,30,36,12,59,0,23,18,24,13,29,22,60,12,12,56,31,19,24,24,36,36,38,32,57,37,59,29,69,32,100,50,63,47,60,63,51,56,36,31,77,48,25,25,31,64,12,30,18,25,38,12,49,43,30,35,24,32,25,88,35.71212121212121,19.726743231733973,4
148,The Sims,65,91,72,63,67,52,66,73,62,74,79,90,52,78,82,54,70,61,65,73,64,67,84,40,47,62,74,73,66,66,57,100,76,68,57,62,72,72,44,57,89,45,74,53,83,51,91,92,36,57,95,86,48,46,84,70,33,72,91,70,65,64,74,37,57,49,66.8030303030303,15.300247271689413,7
149,YNW BSlime,57,47,60,33,70,46,45,47,51,48,73,93,50,45,52,59,37,54,85,68,46,49,64,85,31,75,45,62,44,37,14,28,50,57,47,26,53,32,100,94,38,18,26,58,52,60,61,37,57,50,42,40,42,58,44,51,33,85,53,49,81,60,56,61,65,50,52.81818181818182,17.4633027273984,7
150,Jeep,67,78,85,64,69,67,64,62,68,62,60,63,77,60,62,60,68,56,66,65,58,69,60,100,64,70,70,74,75,67,57,58,72,60,67,66,71,65,73,68,70,74,65,62,72,43,66,76,56,82,69,66,65,63,63,60,68,70,76,70,56,65,67,62,58,75,66.75757575757575,7.983051376169629,3
151,FaZe Clan,85,77,66,77,57,57,88,75,61,89,45,42,36,50,50,54,46,46,43,84,90,79,70,59,64,92,49,62,50,55,49,45,30,26,47,61,45,46,64,53,56,42,75,47,73,46,49,32,63,53,66,51,50,57,48,51,69,100,68,75,78,49,67,57,56,58,59.09090909090909,15.757371793551753,7
152,SuperM,8,11,8,97,27,29,19,22,22,26,25,24,9,10,12,9,20,7,22,15,26,99,61,34,34,33,26,18,23,19,19,19,19,23,14,20,21,26,20,18,18,10,22,33,31,100,66,45,47,51,39,38,27,44,42,32,31,27,23,25,27,20,20,28,14,22,28.424242424242426,19.31247093245678,5
153,TheDooo,59,50,50,73,58,57,94,59,43,95,92,25,75,52,52,64,83,63,34,26,44,27,44,35,69,34,43,51,45,91,72,53,100,33,36,27,89,36,45,17,51,54,55,54,70,35,76,76,71,63,61,64,53,51,50,36,82,26,18,52,34,67,79,45,36,54,54.666666666666664,19.901525244832545,6
154,GioFilms,54,43,21,21,74,84,55,33,55,55,43,32,42,66,66,70,40,27,22,43,46,0,67,56,45,44,22,76,46,70,35,46,32,42,34,23,23,23,57,54,44,46,70,34,100,33,32,22,45,46,56,23,57,65,32,35,47,23,45,34,32,75,33,23,46,68,44.74242424242424,18.383383971517887,5
155,ET Canada,47,47,47,46,0,0,48,48,0,0,0,0,46,0,0,0,58,0,0,48,50,0,0,50,48,0,48,47,50,0,0,0,0,46,50,0,0,49,50,0,0,51,0,51,49,49,0,0,0,100,0,51,49,47,0,0,51,50,0,49,0,0,49,50,50,75,26.424242424242426,26.579817249788224,2
